蜀羊泉(白英)
童子益母草
(一)抗瘤一号方:帖:帖
_草
干骨碎补
白头翁
山慈菇
关黄柏炭
婆婆针(鬼针草)
蜈蚣
苦丁茶
决明子(炒决明子)
青葙子
百部
软滑石
煨诃子
锦灯笼(挂金灯)
猫爪草
桃胶(桃树胶)
苍耳草
炮姜炭
海藻
防风炭
望江南
木瓜
瘪桃干
蚕砂
茺蔚子
丁香
羊角(山羊角)
柿蒂
紫苏子(炒)
水红花子
炒刺猬皮
化橘红(橘红)
石打穿
橘络
鸡骨草
蛇莓
甘松
透骨草
通草(方通草)
朱砂拌白茯苓
白鲜皮
(二十九)通精煎(三七粉4g):帖:帖
蛇床子
千年健
狗脊
浮萍
麸煨肉豆蔻(肉果)
海金沙
艾叶
积雪草(落得打)
白河车(万年青根)
鸡冠花
木槿花
铁落
炒牡丹皮
茜草炭
西河柳
生麦芽
橘叶
荜澄茄
月季花
枸骨叶(功劳叶)
芦荟
苏败酱(败酱草)
矮地茶(平地木)
青风藤
茯苓皮
冬瓜皮
葫芦壳
荔枝核
秫米(北秫米)
黄药子
(二十四)消瘤4#方:帖:帖
白前
地枫皮(钻地风)
炒五灵脂
藕节炭
当归炭
接骨木
覆盆子
铁树叶
忍冬藤
石上柏
生稻芽
绿豆衣
九节菖蒲
蚕茧壳
芫花
藕节
猫人参
七叶一枝花
干荷梗
制_豆衣(黑豆衣)
白蔹
(二十三)消瘤2#方:帖:帖
半边莲
制乳香
韭菜子
两面针
(七)扶正抑瘤肺方(张庆荃):帖:帖
南方红豆杉
梅花
枳_子
煅人中白
生侧柏叶
炒桑枝
炒九香虫
木贼(木贼草)
五倍子
油松节
珠子参(珠儿参)
芒硝
草豆蔻
秦皮
泽漆
制草乌
砂炒干蟾(干蟾皮)
(二十六)脑病2方:贴:贴
刘寄奴
代代花
黄菊花
槐米(槐米炭)
苏木
香樟木
牡丹皮炭
参叶
地榆(地榆炭)
荆芥炭
禹余粮
茅莓根(红梅消)
天竹子(天竺子)
山豆根
薜荔果
铁苋菜(血见愁)
老君须
枸橘梨
煅鹅管石
土荆皮
白薇
煅自然铜
藁本
炮山甲
冰球子
煅花蕊石
野菊花
坎_(脐带 自费)
河白草
楮实子
天葵子
千里光
生槐角
老鹳草
竹节参(竹三七)
陈棕炭
急性子
(十)姚氏一号方
贯众(生)
银柴胡
灶心土
墓头回
禹州漏芦(漏芦)
全蝎粉
胖大海
牵牛子
香加皮(五加皮)
白术炭
昆布
通天草
辣蓼
(十七)清肺却脂方
西红花
海浮石
花椒目
(九)扶正抑瘤妇方(张庆荃)
地黄炭
蜈蚣粉
制川乌
(五)扶正抑瘤肝方(张庆荃):帖:帖
羚羊角粉
四季青
毛冬青
(四)扶正抑瘤肠方(张庆荃):帖:帖
(三)扶正抑瘤乳房方(张庆荃):帖:帖
鸡矢藤
紫荆皮
山柰
浙桐皮(海桐皮)
冰片
枳壳炭
姜皮
白扁豆衣
(六)扶正抑瘤男方(张庆荃):帖:帖
商陆
苘麻子(冬葵子)
苎麻根
南瓜蒂
甘遂(制)
红大戟(大戟)
(96号)参鹤益气生血方:帖:帖
一枝黄花
L补肾益元方:帖:帖
白芍炭
(八)扶正抑瘤胃方(张庆荃):帖:帖
大蓟炭
(十八)外科六号方
金银花炭
花生衣
制关白附
鹿角胶霜
省头草
莲房(莲房炭)
臭梧桐叶(臭梧桐)
干荷蒂
砂炒牛角腮
鸟不宿
脑病4号方:帖:帖
土牛膝
(二十六)脑病2方
(二十五)脑病1方:贴:贴
狗舌草
野蔷薇花
(二十七)脑病3号方:帖:帖
(九)扶正抑瘤妇方(张庆荃):帖:帖
胡黄连
草果(草果仁)
寒水石
小蓟炭
虫笋
杜衡
牛膝炭
人工天竺黄
鸡眼草(蚂蚁草)
(二)抗瘤3号方:帖:帖
L益气健脾方:帖:帖
石燕
(二十七)脑病3号方
番泻叶
血余炭
对坐草
金果榄
S肾3方:帖:帖
S肾1方:帖:帖
巨胜子
(十九)四肢洗方:帖:帖
L活血通络方:帖:帖
槐角(炭)
枳实炭
寻骨风
苦楝皮
枸杞根
腹水草
艾叶炭
扁豆花
白矾
岩柏
天青地白草
(二十五)脑病1方
枯矾粉
(十一)姚氏二号方
刺五加
